"('Country', '', '')","('Length of maternity leave', 1990, 'Women')","('Length of maternity leave', 1991, 'Women')","('Length of maternity leave', 1992, 'Women')","('Length of maternity leave', 1993, 'Women')","('Length of maternity leave', 1994, 'Women')","('Length of maternity leave', 1995, 'Women')","('Length of maternity leave', 1996, 'Women')","('Length of maternity leave', 1997, 'Women')","('Length of maternity leave', 1998, 'Women')","('Length of maternity leave', 1999, 'Women')","('Length of maternity leave', 2000, 'Women')","('Length of maternity leave', 2001, 'Women')","('Length of maternity leave', 2002, 'Women')","('Length of maternity leave', 2003, 'Women')","('Length of maternity leave', 2004, 'Women')","('Length of maternity leave', 2005, 'Women')","('Length of maternity leave', 2006, 'Women')","('Length of maternity leave', 2007, 'Women')","('Length of maternity leave', 2008, 'Women')","('Length of maternity leave', 2009, 'Women')","('Length of maternity leave', 2010, 'Women')","('Length of maternity leave', 2011, 'Women')","('Length of maternity leave', 2012, 'Women')","('Length of maternity leave', 2013, 'Women')","('Length of maternity leave', 2014, 'Women')","('Length of maternity leave', 2015, 'Women')","('Length of maternity leave', 2016, 'Women')","('Length of paid father-specific leave', 1990, 'Men')","('Length of paid father-specific leave', 1991, 'Men')","('Length of paid father-specific leave', 1992, 'Men')","('Length of paid father-specific leave', 1993, 'Men')","('Length of paid father-specific leave', 1994, 'Men')","('Length of paid father-specific leave', 1995, 'Men')","('Length of paid father-specific leave', 1996, 'Men')","('Length of paid father-specific leave', 1997, 'Men')","('Length of paid father-specific leave', 1998, 'Men')","('Length of paid father-specific leave', 1999, 'Men')","('Length of paid father-specific leave', 2000, 'Men')","('Length of paid father-specific leave', 2001, 'Men')","('Length of paid father-specific leave', 2002, 'Men')","('Length of paid father-specific leave', 2003, 'Men')","('Length of paid father-specific leave', 2004, 'Men')","('Length of paid father-specific leave', 2005, 'Men')","('Length of paid father-specific leave', 2006, 'Men')","('Length of paid father-specific leave', 2007, 'Men')","('Length of paid father-specific leave', 2008, 'Men')","('Length of paid father-specific leave', 2009, 'Men')","('Length of paid father-specific leave', 2010, 'Men')","('Length of paid father-specific leave', 2011, 'Men')","('Length of paid father-specific leave', 2012, 'Men')","('Length of paid father-specific leave', 2013, 'Men')","('Length of paid father-specific leave', 2014, 'Men')","('Length of paid father-specific leave', 2015, 'Men')","('Length of paid father-specific leave', 2016, 'Men')","('Length of parental leave with job protection', 1990, 'Women')","('Length of parental leave with job protection', 1991, 'Women')","('Length of parental leave with job protection', 1992, 'Women')","('Length of parental leave with job protection', 1993, 'Women')","('Length of parental leave with job protection', 1994, 'Women')","('Length of parental leave with job protection', 1995, 'Women')","('Length of parental leave with job protection', 1996, 'Women')","('Length of parental leave with job protection', 1997, 'Women')","('Length of parental leave with job protection', 1998, 'Women')","('Length of parental leave with job protection', 1999, 'Women')","('Length of parental leave with job protection', 2000, 'Women')","('Length of parental leave with job protection', 2001, 'Women')","('Length of parental leave with job protection', 2002, 'Women')","('Length of parental leave with job protection', 2003, 'Women')","('Length of parental leave with job protection', 2004, 'Women')","('Length of parental leave with job protection', 2005, 'Women')","('Length of parental leave with job protection', 2006, 'Women')","('Length of parental leave with job protection', 2007, 'Women')","('Length of parental leave with job protection', 2008, 'Women')","('Length of parental leave with job protection', 2009, 'Women')","('Length of parental leave with job protection', 2010, 'Women')","('Length of parental leave with job protection', 2011, 'Women')","('Length of parental leave with job protection', 2012, 'Women')","('Length of parental leave with job protection', 2013, 'Women')","('Length of parental leave with job protection', 2014, 'Women')","('Length of parental leave with job protection', 2015, 'Women')","('Length of parental leave with job protection', 2016, 'Women')","('Total length of paid maternity and parental leave', 1990, 'Women')","('Total length of paid maternity and parental leave', 1991, 'Women')","('Total length of paid maternity and parental leave', 1992, 'Women')","('Total length of paid maternity and parental leave', 1993, 'Women')","('Total length of paid maternity and parental leave', 1994, 'Women')","('Total length of paid maternity and parental leave', 1995, 'Women')","('Total length of paid maternity and parental leave', 1996, 'Women')","('Total length of paid maternity and parental leave', 1997, 'Women')","('Total length of paid maternity and parental leave', 1998, 'Women')","('Total length of paid maternity and parental leave', 1999, 'Women')","('Total length of paid maternity and parental leave', 2000, 'Women')","('Total length of paid maternity and parental leave', 2001, 'Women')","('Total length of paid maternity and parental leave', 2002, 'Women')","('Total length of paid maternity and parental leave', 2003, 'Women')","('Total length of paid maternity and parental leave', 2004, 'Women')","('Total length of paid maternity and parental leave', 2005, 'Women')","('Total length of paid maternity and parental leave', 2006, 'Women')","('Total length of paid maternity and parental leave', 2007, 'Women')","('Total length of paid maternity and parental leave', 2008, 'Women')","('Total length of paid maternity and parental leave', 2009, 'Women')","('Total length of paid maternity and parental leave', 2010, 'Women')","('Total length of paid maternity and parental leave', 2011, 'Women')","('Total length of paid maternity and parental leave', 2012, 'Women')","('Total length of paid maternity and parental leave', 2013, 'Women')","('Total length of paid maternity and parental leave', 2014, 'Women')","('Total length of paid maternity and parental leave', 2015, 'Women')","('Total length of paid maternity and parental leave', 2016, 'Women')"
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0,18.0,18.0
Austria,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,13.0,13.0,8.7,8.7,8.7,8.7,8.7,8.7,8.7,44.0,96.0,96.0,96.0,96.0,96.0,96.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,83.0,83.0,87.3,87.3,87.3,87.3,87.3,87.3,87.3,60.0,112.0,112.0,112.0,112.0,112.0,112.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,73.0,73.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Belgium,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,13.6,13.6,13.6,13.6,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,19.3,19.3,19.3,19.3,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,17.3,17.3,17.3,17.3,17.3,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,32.3,32.3,32.3,32.3,32.3
Canada,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,17.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
Chile,,,,,,,,,,,,,,,,,,,,,,,,,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,30.0
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3
Czech Republic,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
Denmark,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,2.0,2.0,28.0,28.0,15.0,15.0,15.0,15.0,17.0,17.0,17.0,17.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,10.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,28.0,28.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Estonia,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,146.0,146.0,146.0,146.0,146.0,,,,,,,,,,,,,,,,,,,,,,,166.0,166.0,166.0,166.0,166.0
Finland,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,141.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,143.5,143.5,143.5,143.5,159.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,161.0,161.0,161.0,161.0
